n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1972,San Luis Potosí,24,Mujeres,704711,713651
1972,San Luis Potosí,24,Total,1425663,1443384
1972,Sinaloa,25,Hombres,719211,731965
1972,Sinaloa,25,Mujeres,688443,701005
1972,Sinaloa,25,Total,1407654,1432970
1972,Sonora,26,Hombres,614364,623642
1972,Sonora,26,Mujeres,603670,612318
1972,Sonora,26,Total,1218034,1235960
1972,Tabasco,27,Hombres,432881,439443
1972,Tabasco,27,Mujeres,418650,425017
1972,Tabasco,27,Total,851531,864460
1972,Tamaulipas,28,Hombres,798219,808378
1972,Tamaulipas,28,Mujeres,799830,810167
1972,Tamaulipas,28,Total,1598049,1618545
1972,Tlaxcala,29,Hombres,236237,239232
1972,Tlaxcala,29,Mujeres,228929,232070
1972,Tlaxcala,29,Total,465166,471302
1972,Veracruz,30,Hombres,2160502,2195118
1972,Veracruz,30,Mujeres,2124938,2159803
1972,Veracruz,30,Total,4285440,4354921
1972,Yucatán,31,Hombres,430447,437156
1972,Yucatán,31,Mujeres,427359,433906
1972,Yucatán,31,Total,857806,871062
1972,Zacatecas,32,Hombres,515764,520206
1972,Zacatecas,32,Mujeres,513073,517750
1972,Zacatecas,32,Total,1028837,1037956
1973,Aguascalientes,01,Hombres,198004,202077
1973,Aguascalientes,01,Mujeres,201106,205278
1973,Aguascalientes,01,Total,399110,407355
1973,Baja California,02,Hombres,492405,499222
1973,Baja California,02,Mujeres,493331,500344
1973,Baja California,02,Total,985736,999566
1973,Baja California Sur,03,Hombres,78731,80727
1973,Baja California Sur,03,Mujeres,74654,76535
1973,Baja California Sur,03,Total,153385,157262
1973,Campeche,04,Hombres,154994,158816
1973,Campeche,04,Mujeres,152066,155790
1973,Campeche,04,Total,307060,314606
1973,Chiapas,07,Hombres,925000,936769
1973,Chiapas,07,Mujeres,895363,906266
1973,Chiapas,07,Total,1820363,1843035
1973,Chihuahua,08,Hombres,900722,909490
1973,Chihuahua,08,Mujeres,888492,898006
1973,Chihuahua,08,Total,1789214,1807496
1973,Ciudad de México,09,Hombres,3762793,3804800
1973,Ciudad de México,09,Mujeres,4000484,4044893
1973,Ciudad de México,09,Total,7763277,7849693
1973,Coahuila,05,Hombres,642733,652305
1973,Coahuila,05,Mujeres,629831,639731
1973,Coahuila,05,Total,1272564,1292036
1973,Colima,06,Hombres,140174,142590
1973,Colima,06,Mujeres,138134,140547
1973,Colima,06,Total,278308,283137
1973,Durango,10,Hombres,531547,536922
1973,Durango,10,Mujeres,513473,519324
1973,Durango,10,Total,1045020,1056246
1973,Estado de México,15,Hombres,2464891,2548656
1973,Estado de México,15,Mujeres,2425147,2509529
1973,Estado de México,15,Total,4890038,5058185
1973,Guanajuato,11,Hombres,1294763,1310375
1973,Guanajuato,11,Mujeres,1284573,1301066
