cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
5018,D4,1,2006-08-31,2006-08-31,0 days
5018,Sin sequia,30,2003-01-31,2005-08-31,943 days
5019,D0,8,2023-05-31,2023-09-15,107 days
5019,D1,9,2012-09-30,2013-05-31,243 days
5019,D2,14,2019-10-31,2020-05-15,197 days
5019,D3,11,2022-03-15,2022-08-15,153 days
5019,D4,2,2006-07-31,2006-08-31,31 days
5019,Sin sequia,24,2003-07-31,2005-08-31,762 days
5020,D0,10,2009-01-31,2009-10-31,273 days
5020,D1,10,2019-09-15,2020-01-31,138 days
5020,D2,3,2010-11-30,2011-01-31,62 days
5020,D3,9,2022-02-28,2022-06-30,122 days
5020,D4,4,2011-09-30,2011-12-31,92 days
5020,Sin sequia,24,2003-07-31,2005-08-31,762 days
5021,D0,7,2003-01-31,2003-07-31,181 days
5021,D1,15,2020-11-30,2021-06-30,212 days
5021,D2,10,2022-02-28,2022-07-15,137 days
5021,D3,3,2011-03-31,2011-05-31,61 days
5021,D4,4,2011-10-31,2012-01-31,92 days
5021,Sin sequia,74,2014-04-15,2017-04-30,1111 days
5022,D0,9,2017-05-15,2017-09-15,123 days
5022,D1,4,2012-09-30,2012-12-31,92 days
5022,D2,15,2022-09-15,2023-04-30,227 days
5022,D3,9,2022-04-30,2022-08-31,123 days
5022,D4,2,2006-07-31,2006-08-31,31 days
5022,Sin sequia,21,2003-07-31,2005-05-31,670 days
5023,D0,12,2017-07-31,2018-01-15,168 days
5023,D1,8,2018-01-31,2018-05-15,104 days
5023,D2,15,2021-01-15,2021-08-15,212 days
5023,D3,7,2022-03-31,2022-06-30,91 days
5023,D4,4,2011-10-31,2012-01-31,92 days
5023,Sin sequia,64,2012-11-30,2016-02-15,1172 days
5024,D0,12,2008-09-30,2009-08-31,335 days
5024,D1,5,2008-02-29,2008-06-30,122 days
5024,D2,11,2022-04-30,2022-09-30,153 days
5024,D3,7,2011-11-30,2012-05-31,183 days
5024,D4,1,2011-10-31,2011-10-31,0 days
5024,Sin sequia,48,2013-09-30,2015-11-15,776 days
5025,D0,9,2017-05-15,2017-09-15,123 days
5025,D1,11,2023-10-31,2024-03-31,152 days
5025,D2,15,2022-09-15,2023-04-30,227 days
5025,D3,9,2022-02-28,2022-06-30,122 days
5025,D4,2,2006-07-31,2006-08-31,31 days
5025,Sin sequia,19,2003-07-31,2005-03-31,609 days
5026,D0,10,2019-09-30,2020-02-15,138 days
5026,D1,9,2012-05-31,2013-01-31,245 days
5026,D2,5,2023-02-28,2023-05-15,76 days
5026,D3,3,2011-03-31,2011-05-31,61 days
5026,D4,2,2011-10-31,2011-11-30,30 days
5026,Sin sequia,25,2003-06-30,2005-08-31,793 days
5027,D0,6,2005-12-31,2006-05-31,151 days
5027,D1,5,2008-02-29,2008-06-30,122 days
5027,D2,9,2022-04-30,2022-08-31,123 days
5027,D3,6,2011-09-30,2012-02-29,152 days
5027,Sin sequia,30,2003-01-31,2005-08-31,943 days
5028,D0,4,2013-06-30,2013-09-30,92 days
5028,D1,9,2012-09-30,2013-05-31,243 days
5028,D2,7,2020-02-15,2020-05-15,90 days
5028,D3,10,2022-03-15,2022-07-31,138 days
5028,D4,4,2011-09-30,2011-12-31,92 days
5028,Sin sequia,24,2003-07-31,2005-08-31,762 days
5029,D0,9,2008-10-31,2009-06-30,242 days
5029,D1,13,2020-12-15,2021-06-15,182 days
5029,D2,8,2022-04-30,2022-08-15,107 days
5029,D3,5,2011-12-31,2012-04-30,121 days
5029,D4,2,2011-10-31,2011-11-30,30 days
5029,Sin sequia,52,2013-06-30,2015-11-30,883 days
5030,D0,5,2012-03-31,2012-07-31,122 days
5030,D1,4,2008-03-31,2008-06-30,91 days
5030,D2,8,2023-02-28,2023-06-30,122 days
5030,D3,4,2011-09-30,2011-12-31,92 days
5030,Sin sequia,55,2013-05-31,2015-12-31,944 days
5031,D0,6,2012-08-31,2013-01-31,153 days
5031,D1,10,2021-02-15,2021-06-30,135 days
5031,D2,5,2020-11-30,2021-01-31,62 days
5031,D3,8,2022-03-31,2022-07-15,106 days
5031,D4,4,2011-10-31,2012-01-31,92 days
5031,Sin sequia,86,2013-06-30,2017-04-30,1400 days
5032,D0,4,2012-05-31,2012-08-31,92 days
5032,D1,9,2009-04-30,2009-12-31,245 days
5032,D2,4,2018-06-30,2018-08-15,46 days
5032,D3,10,2022-03-31,2022-08-15,137 days
5032,D4,4,2011-09-30,2011-12-31,92 days
5032,Sin sequia,24,2003-07-31,2005-08-31,762 days
5033,D0,11,2008-09-30,2009-07-31,304 days
5033,D1,4,2008-02-29,2008-05-31,92 days
5033,D2,6,2003-01-31,2003-06-30,150 days
5033,D3,6,2012-01-31,2012-06-30,151 days
5033,D4,3,2011-10-31,2011-12-31,61 days
5033,Sin sequia,48,2013-09-30,2015-11-15,776 days
5034,D0,9,2007-09-30,2008-05-31,244 days
5034,D1,5,2006-01-31,2006-05-31,120 days
5034,D2,27,2020-12-31,2022-01-31,396 days
5034,D3,8,2024-01-15,2024-04-30,106 days
5034,D4,6,2011-09-30,2012-02-29,152 days
5034,Sin sequia,22,2003-10-31,2005-08-31,670 days
5035,D0,22,2019-06-30,2020-05-15,320 days
5035,D1,6,2003-01-31,2003-06-30,150 days
5035,D2,6,2023-02-15,2023-05-15,89 days
5035,D3,7,2012-01-31,2012-07-31,182 days
5035,D4,3,2011-10-31,2011-12-31,61 days
5035,Sin sequia,26,2003-09-30,2005-11-30,792 days
5036,D0,12,2008-09-30,2009-08-31,335 days
5036,D1,6,2003-01-31,2003-06-30,150 days
5036,D2,7,2023-01-31,2023-05-15,104 days
5036,D3,6,2012-01-31,2012-06-30,151 days
5036,D4,3,2011-10-31,2011-12-31,61 days
5036,Sin sequia,26,2003-09-30,2005-11-30,792 days
5037,D0,3,2007-11-30,2008-01-31,62 days
5037,D1,4,2009-04-30,2009-07-31,92 days
5037,D2,14,2019-10-31,2020-05-15,197 days
5037,D3,12,2022-02-28,2022-08-15,168 days
5037,D4,4,2011-09-30,2011-12-31,92 days
5037,Sin sequia,24,2003-07-31,2005-08-31,762 days
5038,D0,9,2017-05-15,2017-09-15,123 days
5038,D1,13,2012-09-30,2013-09-30,365 days
5038,D2,13,2019-11-15,2020-05-15,182 days
5038,D3,8,2011-07-31,2012-02-29,213 days
5038,D4,3,2011-04-30,2011-06-30,61 days
5038,Sin sequia,19,2003-07-31,2005-03-31,609 days
6001,D0,11,2004-08-31,2005-06-30,303 days
6001,D1,6,2009-03-31,2009-08-31,153 days
6001,D2,8,2023-02-15,2023-06-15,120 days
6001,D3,3,2021-05-15,2021-06-15,31 days
6001,Sin sequia,44,2013-08-31,2015-08-31,730 days
6002,D0,11,2004-08-31,2005-06-30,303 days
6002,D1,6,2009-03-31,2009-08-31,153 days
6002,D2,7,2023-02-15,2023-05-31,105 days
6002,D3,2,2007-06-30,2007-07-31,31 days
6002,Sin sequia,43,2013-09-30,2015-08-31,700 days
6003,D0,6,2004-08-31,2005-01-31,153 days
6003,D1,6,2009-03-31,2009-08-31,153 days
6003,D2,10,2023-04-30,2023-09-15,138 days
6003,D3,1,2007-06-30,2007-06-30,0 days
6003,Sin sequia,44,2013-08-31,2015-08-31,730 days
6004,D0,11,2004-08-31,2005-06-30,303 days
6004,D1,6,2009-03-31,2009-08-31,153 days
6004,D2,8,2023-02-15,2023-06-15,120 days
6004,D3,3,2021-05-15,2021-06-15,31 days
6004,Sin sequia,43,2013-08-31,2015-08-15,714 days
6005,D0,6,2004-08-31,2005-01-31,153 days
6005,D1,6,2009-03-31,2009-08-31,153 days
6005,D2,6,2023-06-30,2023-09-15,77 days
6005,D3,1,2007-06-30,2007-06-30,0 days
6005,Sin sequia,38,2013-09-30,2015-06-15,623 days
6006,D0,11,2004-08-31,2005-06-30,303 days
6006,D1,6,2009-03-31,2009-08-31,153 days
6006,D2,8,2023-02-15,2023-06-15,120 days
6006,D3,2,2007-06-30,2007-07-31,31 days
6006,Sin sequia,43,2013-09-30,2015-08-31,700 days
6007,D0,12,2004-08-31,2005-07-31,334 days
6007,D1,6,2009-03-31,2009-08-31,153 days
6007,D2,7,2023-02-28,2023-06-15,107 days
6007,D3,3,2021-05-15,2021-06-15,31 days
6007,Sin sequia,39,2013-08-31,2015-06-15,653 days
6008,D0,21,2016-10-15,2017-08-15,304 days
6008,D1,6,2009-03-31,2009-08-31,153 days
6008,D2,5,2023-07-15,2023-09-15,62 days
6008,D3,2,2021-05-31,2021-06-15,15 days
6008,Sin sequia,23,2013-08-31,2014-10-15,410 days
6009,D0,11,2004-08-31,2005-06-30,303 days
6009,D1,6,2009-03-31,2009-08-31,153 days
6009,D2,8,2023-02-15,2023-06-15,120 days
6009,D3,2,2007-06-30,2007-07-31,31 days
6009,Sin sequia,43,2013-09-30,2015-08-31,700 days
6010,D0,11,2004-08-31,2005-06-30,303 days
6010,D1,6,2009-03-31,2009-08-31,153 days
6010,D2,11,2023-03-31,2023-09-15,168 days
6010,D3,2,2021-05-31,2021-06-15,15 days
6010,Sin sequia,44,2013-08-31,2015-08-31,730 days
7001,D0,6,2008-10-31,2009-03-31,151 days
7001,D1,11,2015-06-30,2015-11-30,153 days
7001,D2,6,2010-01-31,2010-06-30,150 days
7001,Sin sequia,56,2010-08-31,2014-08-31,1461 days
