cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
07002,D1,9,2004-09-30,2005-05-31,243
07002,D2,6,2009-12-31,2010-05-31,151
07002,Sin sequia,18,2011-07-31,2012-12-31,519
07003,D0,6,2008-10-31,2009-03-31,151
07003,D1,11,2015-06-30,2015-11-30,153
07003,D2,8,2016-04-30,2016-08-15,107
07003,D3,2,2010-05-31,2010-06-30,30
07003,Sin sequia,31,2010-08-31,2013-02-28,912
07004,D0,25,2017-01-15,2018-01-15,365
07004,D1,24,2016-01-15,2016-12-31,351
07004,D2,8,2019-01-31,2019-05-15,104
07004,Sin sequia,20,2011-07-31,2013-02-28,578
07005,D0,5,2003-02-28,2003-06-30,122
07005,D1,8,2004-09-30,2005-04-30,212
07005,D2,4,2009-09-30,2009-12-31,92
07005,D3,5,2018-08-31,2018-10-31,61
07005,Sin sequia,53,2020-05-31,2022-07-31,791
07006,D0,9,2015-03-31,2015-07-31,122
07006,D1,7,2018-07-15,2018-10-15,92
07006,D2,3,2009-09-30,2009-11-30,61
07006,Sin sequia,60,2011-05-31,2015-03-15,1384
07007,D0,10,2015-02-15,2015-06-30,135
07007,D1,7,2004-09-30,2005-03-31,182
07007,D2,7,2009-09-30,2010-03-31,182
07007,Sin sequia,20,2011-07-31,2013-02-28,578
07008,D0,22,2017-02-28,2018-01-15,321
07008,D1,7,2004-09-30,2005-03-31,182
07008,D2,6,2010-01-31,2010-06-30,150
07008,Sin sequia,23,2011-05-31,2013-03-31,670
07009,D0,11,2020-11-30,2021-04-30,151
07009,D1,15,2023-09-30,2024-04-30,213
07009,D2,5,2010-01-31,2010-05-31,120
07009,Sin sequia,30,2010-07-31,2012-12-31,884
07010,D0,15,2015-03-31,2015-10-31,214
07010,D1,7,2024-02-15,2024-05-15,90
07010,D2,3,2009-09-30,2009-11-30,61
07010,Sin sequia,60,2011-05-31,2015-03-15,1384
07011,D0,9,2021-09-30,2022-01-31,123
07011,D1,8,2019-06-15,2019-09-30,107
07011,D2,3,2009-09-30,2009-11-30,61
07011,Sin sequia,60,2011-05-31,2015-03-15,1384
07012,D0,13,2019-11-15,2020-05-15,182
07012,D1,8,2004-10-31,2005-05-31,212
07012,D2,2,2009-12-31,2010-01-31,31
07012,D3,1,2010-02-28,2010-02-28,0
07012,Sin sequia,44,2013-05-31,2015-07-15,775
07013,D0,13,2019-11-15,2020-05-15,182
07013,D1,9,2004-09-30,2005-05-31,243
07013,D2,2,2009-09-30,2009-10-31,31
07013,D3,1,2010-02-28,2010-02-28,0
07013,Sin sequia,42,2013-05-31,2015-06-15,745
07014,D0,23,2017-08-31,2018-07-31,334
07014,D1,9,2004-09-30,2005-05-31,243
07014,D2,4,2009-09-30,2009-12-31,92
07014,D3,2,2010-01-31,2010-02-28,28
07014,Sin sequia,42,2013-05-31,2015-06-15,745
07015,D0,15,2018-09-15,2019-04-15,212
07015,D1,10,2015-11-30,2016-04-15,137
07015,D2,13,2016-04-30,2016-10-31,184
07015,D3,2,2010-05-31,2010-06-30,30
07015,Sin sequia,31,2010-08-31,2013-02-28,912
07016,D0,6,2013-03-31,2013-08-31,153
07016,D1,11,2016-12-31,2017-05-31,151
07016,D2,12,2019-04-15,2019-09-30,168
07016,D3,6,2009-09-30,2010-02-28,151
07016,Sin sequia,18,2011-09-30,2013-02-28,517
07017,D0,13,2020-10-31,2021-04-30,181
07017,D1,10,2016-03-15,2016-07-31,138
07017,D2,4,2010-02-28,2010-05-31,92
07017,Sin sequia,44,2013-05-31,2015-07-15,775
07018,D0,13,2019-11-15,2020-05-15,182
07018,D1,9,2004-09-30,2005-05-31,243
07018,D2,6,2018-08-15,2018-10-31,77
07018,D3,1,2010-02-28,2010-02-28,0
07018,Sin sequia,44,2013-05-31,2015-07-15,775
07019,D0,15,2016-10-31,2017-05-31,212
07019,D1,18,2018-09-15,2019-05-31,258
07019,D2,7,2009-09-30,2010-03-31,182
07019,Sin sequia,21,2011-07-31,2013-03-31,609
07020,D0,16,2017-05-31,2018-01-15,229
