nombre_estado,cve_ent,nombre_municipio,cve_geo,normal_pr_mm
Guerrero,12,San Nicolás,12085,1220.5643982802683
Hidalgo,13,Acatlán,13001,798.9398308267064
Hidalgo,13,Acaxochitlán,13002,1129.2002595017605
Hidalgo,13,Actopan,13003,483.2256344821837
Hidalgo,13,Agua Blanca de Iturbide,13004,838.6442496975751
Hidalgo,13,Ajacuba,13005,507.94450883508705
Hidalgo,13,Alfajayucan,13006,510.67589538975
Hidalgo,13,Almoloya,13007,612.4996419688555
Hidalgo,13,Apan,13008,544.3626992625369
Hidalgo,13,El Arenal,13009,452.1575406456649
Hidalgo,13,Atitalaquia,13010,512.3884172983729
Hidalgo,13,Atlapexco,13011,1514.4641740696934
Hidalgo,13,Atotonilco el Grande,13012,703.2598342005831
Hidalgo,13,Atotonilco de Tula,13013,555.6588417766025
Hidalgo,13,Calnali,13014,1843.422867676095
Hidalgo,13,Cardonal,13015,494.9348543966088
Hidalgo,13,Cuautepec de Hinojosa,13016,884.7267152436109
Hidalgo,13,Chapantongo,13017,553.3383030313303
Hidalgo,13,Chapulhuacán,13018,1404.4048708522107
Hidalgo,13,Chilcuautla,13019,472.8652850644196
Hidalgo,13,Eloxochitlán,13020,707.2096165412697
Hidalgo,13,Emiliano Zapata,13021,582.0098539099664
Hidalgo,13,Epazoyucan,13022,485.5060918522041
Hidalgo,13,Francisco I. Madero,13023,458.3202444492672
Hidalgo,13,Huasca de Ocampo,13024,789.2140877424912
Hidalgo,13,Huautla,13025,1463.6379922064568
Hidalgo,13,Huazalingo,13026,1776.1438359744789
Hidalgo,13,Huehuetla,13027,1789.2083801929502
Hidalgo,13,Huejutla de Reyes,13028,1588.079377890403
Hidalgo,13,Huichapan,13029,506.804712075856
Hidalgo,13,Ixmiquilpan,13030,388.64572146660413
Hidalgo,13,Jacala de Ledezma,13031,735.2125639412438
Hidalgo,13,Jaltocán,13032,1744.6818801845147
Hidalgo,13,Juárez Hidalgo,13033,917.6573063357191
Hidalgo,13,Lolotla,13034,1373.3012577934026
Hidalgo,13,Metepec,13035,818.6829833028837
Hidalgo,13,San Agustín Metzquititlán,13036,564.9648497138215
Hidalgo,13,Metztitlán,13037,603.8948888737768
Hidalgo,13,Mineral del Chico,13038,833.0680781266799
Hidalgo,13,Mineral del Monte,13039,408.6126262510923
Hidalgo,13,La Misión,13040,972.2193570595354
Hidalgo,13,Mixquiahuala de Juárez,13041,467.90753538865374
Hidalgo,13,Molango de Escamilla,13042,1162.8249644959078
Hidalgo,13,Nicolás Flores,13043,685.3122509673447
Hidalgo,13,Nopala de Villagrán,13044,656.9650435287008
