nombre_estado,cve_ent,n_month,normal_pr_mm,normal_cumsum_pr_mm
Morelos,17,08,199.94584228544784,698.8347410441517
Morelos,17,09,204.65387063271035,903.488611676862
Morelos,17,10,67.60407551758253,971.0926871944445
Morelos,17,11,12.575771163160594,983.668458357605
Morelos,17,12,2.3799061133543193,986.0483644709593
Nayarit,18,01,19.09756849660072,19.09756849660072
Nayarit,18,02,8.95753317240226,28.05510166900298
Nayarit,18,03,3.7504984414498477,31.80560011045283
Nayarit,18,04,2.3453585549717997,34.15095866542463
Nayarit,18,05,4.721884110368848,38.87284277579348
Nayarit,18,06,131.88367687905702,170.7565196548505
Nayarit,18,07,291.8680874994359,462.6246071542864
Nayarit,18,08,291.7975399494103,754.4221471036967
Nayarit,18,09,244.72732381074465,999.1494709144414
Nayarit,18,10,73.88044785180135,1073.0299187662426
Nayarit,18,11,12.23964908005381,1085.2695678462965
Nayarit,18,12,18.503074891475343,1103.7726427377718
Nuevo León,19,01,20.65717964406706,20.65717964406706
Nuevo León,19,02,15.906818613948996,36.563998258016056
Nuevo León,19,03,15.030433222289538,51.594431480305595
Nuevo León,19,04,33.86956225488473,85.46399373519031
Nuevo León,19,05,57.943586298872475,143.4075800340628
Nuevo León,19,06,59.51337727780953,202.92095731187231
Nuevo León,19,07,57.84977435111271,260.77073166298504
Nuevo León,19,08,62.088569284737964,322.859300947723
Nuevo León,19,09,112.33432921747475,435.19363016519776
Nuevo León,19,10,46.61986781892596,481.8134979841237
Nuevo León,19,11,16.44965829320013,498.26315627732384
Nuevo León,19,12,15.895965679937184,514.159121957261
Oaxaca,20,01,15.389130724367977,15.389130724367977
Oaxaca,20,02,14.556520182801147,29.945650907169124
Oaxaca,20,03,13.754917735447272,43.700568642616396
Oaxaca,20,04,26.509495182049996,70.21006382466639
Oaxaca,20,05,91.39592831314074,161.60599213780714
Oaxaca,20,06,255.6780984118464,417.28409054965357
Oaxaca,20,07,257.44916968035244,674.733260230006
Oaxaca,20,08,261.7247343741697,936.4579946041756
Oaxaca,20,09,282.03603179047474,1218.4940263946503
Oaxaca,20,10,134.9052760915844,1353.3993024862348
Oaxaca,20,11,48.27763842526066,1401.6769409114954
Oaxaca,20,12,24.77701703665297,1426.4539579481484
Puebla,21,01,16.662411305847296,16.662411305847296
Puebla,21,02,12.799389459690733,29.46180076553803
Puebla,21,03,14.841471597729248,44.303272363267276
Puebla,21,04,34.448342389054154,78.75161475232143
Puebla,21,05,74.21584206203272,152.96745681435414
Puebla,21,06,166.85164707398806,319.81910388834217
Puebla,21,07,155.31285478157676,475.13195866991896
Puebla,21,08,157.24238100339906,632.374339673318
Puebla,21,09,194.60761260525936,826.9819522785774
Puebla,21,10,92.91611848197992,919.8980707605573
Puebla,21,11,31.85289579015308,951.7509665507104
Puebla,21,12,16.080002322912208,967.8309688736226
Querétaro,22,01,15.527469286345852,15.527469286345852
Querétaro,22,02,8.086303161776986,23.613772448122837
