nombre_estado,cve_ent,n_month,n_day,normal_pr_mm
Nayarit,18,10,5,3.1607079785086074
Nayarit,18,10,6,3.888756237344306
Nayarit,18,10,7,6.05610870786837
Nayarit,18,10,8,5.857560368539271
Nayarit,18,10,9,2.774252251266758
Nayarit,18,10,10,2.282494654165577
Nayarit,18,10,11,3.1466386099119688
Nayarit,18,10,12,2.2567805544541604
Nayarit,18,10,13,2.6330675820072518
Nayarit,18,10,14,3.3334146983829607
Nayarit,18,10,15,2.241907887988236
Nayarit,18,10,16,1.575615970641674
Nayarit,18,10,17,1.372175879647282
Nayarit,18,10,18,0.6274815295445721
Nayarit,18,10,19,1.9990668418755453
Nayarit,18,10,20,2.2483223479486574
Nayarit,18,10,21,2.008104111203261
Nayarit,18,10,22,2.0180156792927333
Nayarit,18,10,23,0.8054609387708741
