cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,anomaly_pr_mm,anomaly_pr_prop
30,Veracruz,1991-08-15,1991,8,171.51123369380986,-89.52947887381663,-0.3429713242551109
30,Veracruz,1991-09-15,1991,9,372.44118403476216,39.72655182879015,0.11940127659969228
30,Veracruz,1991-10-15,1991,10,296.13151218918046,82.56857959770383,0.38662411400600505
30,Veracruz,1991-11-15,1991,11,121.1074512037422,7.208668152106,0.06329012443300591
30,Veracruz,1991-12-15,1991,12,103.98164238337806,31.816799726338274,0.4408905854273972
31,Yucatán,1991-01-15,1991,1,46.158664313597676,13.222538029101301,0.40146002340674125
31,Yucatán,1991-02-15,1991,2,38.3780572872661,9.060032847069017,0.3090260350096124
31,Yucatán,1991-03-15,1991,3,13.961765580072564,-18.01821399035466,-0.5634216854540021
31,Yucatán,1991-04-15,1991,4,5.996523411192027,-25.73702622472513,-0.8110352141506115
31,Yucatán,1991-05-15,1991,5,140.85960378182943,48.7435230513656,0.5291532451754166
31,Yucatán,1991-06-15,1991,6,124.68041942950877,-33.781915375710796,-0.21318577324532806
31,Yucatán,1991-07-15,1991,7,111.89634336338317,-36.75294274082755,-0.2472460090730733
31,Yucatán,1991-08-15,1991,8,141.54873810606338,-19.189377769918906,-0.11938287110895648
31,Yucatán,1991-09-15,1991,9,196.17793545764766,0.9550294486287498,0.00489199483888755
31,Yucatán,1991-10-15,1991,10,154.09475373698382,31.111081327004513,0.25296920084881164
31,Yucatán,1991-11-15,1991,11,44.89252450305508,-3.8582650996626384,-0.07914261760895769
31,Yucatán,1991-12-15,1991,12,69.6265501858885,29.81365601999154,0.7488442285999244
32,Zacatecas,1991-01-15,1991,1,3.9955261179883674,-10.666570156962717,-0.7274928466528776
32,Zacatecas,1991-02-15,1991,2,5.875173207872201,-2.366581081209606,-0.2871453088991884
32,Zacatecas,1991-03-15,1991,3,1.8166880834893853,-2.739636968357737,-0.6012821598948687
32,Zacatecas,1991-04-15,1991,4,5.1084362596819295,-2.0861439803671082,-0.2899604856381294
32,Zacatecas,1991-05-15,1991,5,10.645288853460588,-9.972659088756863,-0.483688246604638
32,Zacatecas,1991-06-15,1991,6,67.24605942084472,-7.156523703989905,-0.09618649519173951
32,Zacatecas,1991-07-15,1991,7,232.61937815170714,129.9073062022157,1.2647715476531083
32,Zacatecas,1991-08-15,1991,8,74.54423307132329,-21.10628021254506,-0.2206603967707581
32,Zacatecas,1991-09-15,1991,9,105.1645456738708,23.694566324281197,0.2908380057715156
32,Zacatecas,1991-10-15,1991,10,27.99902344354189,-5.0932829632757155,-0.1539113925956641
32,Zacatecas,1991-11-15,1991,11,11.681460004632841,1.554579095467977,0.15351015869665036
32,Zacatecas,1991-12-15,1991,12,24.236550353339375,11.96571466727409,0.9751344548490949
01,Aguascalientes,1992-01-15,1992,1,120.77409786289974,103.88225232001892,6.149846211671101
01,Aguascalientes,1992-02-15,1992,2,11.609073308314693,4.024307156836463,0.5305776178810928
01,Aguascalientes,1992-03-15,1992,3,5.412269787648242,0.9506594800214865,0.21307541772449565
01,Aguascalientes,1992-04-15,1992,4,9.465461591265298,3.1015022555396747,0.48735419130173296
01,Aguascalientes,1992-05-15,1992,5,36.65346508903244,15.928867138556264,0.768597160563507
01,Aguascalientes,1992-06-15,1992,6,38.843293168079214,-50.15793853138358,-0.5635645436993018
01,Aguascalientes,1992-07-15,1992,7,110.49460302870483,-20.111853486140518,-0.1539882025958993
01,Aguascalientes,1992-08-15,1992,8,104.49568947369032,-6.4060985547749425,-0.05776370849071147
01,Aguascalientes,1992-09-15,1992,9,55.47251494586825,-30.913778290304883,-0.35785513108878414
01,Aguascalientes,1992-10-15,1992,10,120.58958782718629,84.74476887165451,2.3642124954456274
01,Aguascalientes,1992-11-15,1992,11,28.06576527117537,17.539514032015767,1.6662640510389422
01,Aguascalientes,1992-12-15,1992,12,10.268004160511515,0.32773454974491223,0.03297038838764828
02,Baja California,1992-01-15,1992,1,34.133026961448195,10.412070611607078,0.43893974838315564
02,Baja California,1992-02-15,1992,2,52.82585654379411,25.274907635249505,0.9173879171693715
