date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Durango,10,Coneto de Comonfort,10003,2269,2322,4591
2015,Durango,10,Cuencamé,10004,18211,17952,36163
2015,Durango,10,Durango,10005,317032,336370,653402
2015,Durango,10,El Oro,10018,5906,5985,11891
2015,Durango,10,General Simón Bolívar,10006,5273,5352,10625
2015,Durango,10,Guadalupe Victoria,10008,18027,18428,36455
2015,Durango,10,Guanaceví,10009,5416,5081,10497
2015,Durango,10,Gómez Palacio,10007,175320,178033,353353
2015,Durango,10,Hidalgo,10010,2136,2072,4208
2015,Durango,10,Indé,10011,2624,2626,5250
2015,Durango,10,Lerdo,10012,77307,77959,155266
2015,Durango,10,Mapimí,10013,13447,13436,26883
2015,Durango,10,Mezquital,10014,18742,19333,38075
2015,Durango,10,Nazas,10015,6669,6707,13376
2015,Durango,10,Nombre de Dios,10016,9945,10065,20010
2015,Durango,10,Nuevo Ideal,10039,13812,13957,27769
2015,Durango,10,Ocampo,10017,5127,4891,10018
2015,Durango,10,Otáez,10019,2807,2636,5443
2015,Durango,10,Peñón Blanco,10021,5629,5581,11210
2015,Durango,10,Poanas,10022,12910,13284,26194
2015,Durango,10,Pueblo Nuevo,10023,25949,26077,52026
2015,Durango,10,Pánuco de Coronado,10020,6273,6461,12734
2015,Durango,10,Rodeo,10024,6825,6840,13665
2015,Durango,10,San Bernardo,10025,1858,1650,3508
2015,Durango,10,San Dimas,10026,10465,9817,20282
2015,Durango,10,San Juan de Guadalupe,10027,2942,3015,5957
2015,Durango,10,San Juan del Río,10028,6308,6454,12762
2015,Durango,10,San Luis del Cordero,10029,1108,1085,2193
2015,Durango,10,San Pedro del Gallo,10030,826,783,1609
2015,Durango,10,Santa Clara,10031,3625,3683,7308
2015,Durango,10,Santiago Papasquiaro,10032,24539,24486,49025
2015,Durango,10,Súchil,10033,3309,3564,6873
2015,Durango,10,Tamazula,10034,14485,13237,27722
2015,Durango,10,Tepehuanes,10035,5755,5843,11598
2015,Durango,10,Tlahualilo,10036,11768,11617,23385
2015,Durango,10,Topia,10037,4804,4547,9351
2015,Durango,10,Vicente Guerrero,10038,11022,11650,22672
2015,Estado de México,15,Acambay de Ruíz Castañeda,15001,32070,34130,66200
2015,Estado de México,15,Acolman,15002,80609,80318,160927
2015,Estado de México,15,Aculco,15003,24084,24834,48918
2015,Estado de México,15,Almoloya de Alquisiras,15004,7375,8074,15449
2015,Estado de México,15,Almoloya de Juárez,15005,84090,86166,170256
2015,Estado de México,15,Almoloya del Río,15006,5452,5895,11347
2015,Estado de México,15,Amanalco,15007,12050,12518,24568
2015,Estado de México,15,Amatepec,15008,13618,14493,28111
2015,Estado de México,15,Amecameca,15009,25380,27201,52581
2015,Estado de México,15,Apaxco,15010,14721,15108,29829
2015,Estado de México,15,Atenco,15011,31076,31620,62696
2015,Estado de México,15,Atizapán,15012,5612,5935,11547
2015,Estado de México,15,Atizapán de Zaragoza,15013,261876,276680,538556
2015,Estado de México,15,Atlacomulco,15014,47954,51960,99914
2015,Estado de México,15,Atlautla,15015,14934,15715,30649
2015,Estado de México,15,Axapusco,15016,13781,13948,27729
2015,Estado de México,15,Ayapango,15017,4840,5031,9871
2015,Estado de México,15,Calimaya,15018,26478,27945,54423
2015,Estado de México,15,Capulhuac,15019,17642,18591,36233
2015,Estado de México,15,Chalco,15025,169880,178154,348034
2015,Estado de México,15,Chapa de Mota,15026,13935,14452,28387
2015,Estado de México,15,Chapultepec,15027,5533,5797,11330
2015,Estado de México,15,Chiautla,15028,14196,14800,28996
2015,Estado de México,15,Chicoloapan,15029,97906,103300,201206
2015,Estado de México,15,Chiconcuac,15030,12392,12848,25240
2015,Estado de México,15,Chimalhuacán,15031,332641,344615,677256
2015,Estado de México,15,Coacalco de Berriozábal,15020,146343,156531,302874
2015,Estado de México,15,Coatepec Harinas,15021,18901,20502,39403
2015,Estado de México,15,Cocotitlán,15022,6969,7273,14242
2015,Estado de México,15,Coyotepec,15023,21128,21544,42672
2015,Estado de México,15,Cuautitlán,15024,77316,79364,156680
2015,Estado de México,15,Cuautitlán Izcalli,15121,270393,284296,554689
2015,Estado de México,15,Donato Guerra,15032,16975,17462,34437
2015,Estado de México,15,Ecatepec de Morelos,15033,827678,846921,1674599
2015,Estado de México,15,Ecatzingo,15034,4749,4883,9632
2015,Estado de México,15,El Oro,15064,18146,19210,37356
2015,Estado de México,15,Huehuetoca,15035,61177,63172,124349
2015,Estado de México,15,Hueypoxtla,15036,21958,21779,43737
2015,Estado de México,15,Huixquilucan,15037,129717,140206,269923
2015,Estado de México,15,Isidro Fabela,15038,5696,5825,11521
2015,Estado de México,15,Ixtapaluca,15039,248923,258902,507825
